row,title,problems
47,Inspirational Leadership,price is in CHF — convert to USD first
48,Generative AI for Business Sprint,price is in CHF — convert to USD first
49,The First 90 Days®,price is in CHF — convert to USD first
50,St.Gallen Board Retreat,price is in CHF — convert to USD first
51,Mergers & Acquisitions and Corporate Strategy,price is in CHF — convert to USD first
52,Essential Management Skills,price is in CAD — convert to USD first
53,Fundamentals of Accounting for Non-Financial Managers,price is in CAD — convert to USD first
54,Accelerated Leadership Program,price is in AUD — convert to USD first
55,AI for Business Leaders,price is in AUD — convert to USD first
56,Advanced Negotiation Techniques,price is in DKK — convert to USD first
57,Leading Strategic Transformations,price is in DKK — convert to USD first
58,AI for Leaders: Leveraging Data Analytics for Business,price is in SGD — convert to USD first
59,Innovation and Design Thinking,price is in SGD — convert to USD first
60,Organizational Structure and Culture,price is in CAD — convert to USD first
61,Developing Women in Leadership,price is in INR — convert to USD first
62,Advanced Management Programme,price is in UNKNOWN — convert to USD first
63,"Manage Self, Lead Better",price is in UNKNOWN — convert to USD first
64,Leading Digital Transformation,price is in UNKNOWN — convert to USD first
