source_url,school,school_ar,school_city,school_city_ar,school_country,school_country_ar,region,title,title_ar,summary,summary_ar,subject,format,start,end,days,price,currency,langs,audience,audience_ar,highlights,highlights_ar,rating,reviews,scraped_at,extraction
https://executivecourses.com/schools/usa/california/stanford-university-stanford-graduate-school-of-business-executive-education,Stanford Graduate School of Business,كلية ستانفورد للدراسات العليا في الأعمال,Stanford,ستانفورد,United States,الولايات المتحدة,americas,Culture as a Competitive Advantage,ثقافة الشركة كميزة تنافسية,"A 4-day on-campus program from Stanford Graduate School of Business, running 9 August 2026 to 12 August 2026.",برنامج حضوري لمدة 4 أيام من كلية ستانفورد للدراسات العليا في الأعمال، من 9 أغسطس 2026 إلى 12 أغسطس 2026.,leadership,in-person,2026-08-09,2026-08-12,4,9500,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/california/stanford-university-stanford-graduate-school-of-business-executive-education,Stanford Graduate School of Business,كلية ستانفورد للدراسات العليا في الأعمال,Stanford,ستانفورد,United States,الولايات المتحدة,americas,"People, Culture, and Performance: Strategies from Silicon Valley",الأفراد والثقافة والأداء: استراتيجيات من وادي السيليكون,"A 6-day on-campus program from Stanford Graduate School of Business, running 9 August 2026 to 14 August 2026.",برنامج حضوري لمدة 6 أيام من كلية ستانفورد للدراسات العليا في الأعمال، من 9 أغسطس 2026 إلى 14 أغسطس 2026.,leadership,in-person,2026-08-09,2026-08-14,6,16500,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/california/stanford-university-stanford-graduate-school-of-business-executive-education,Stanford Graduate School of Business,كلية ستانفورد للدراسات العليا في الأعمال,Stanford,ستانفورد,United States,الولايات المتحدة,americas,Harnessing AI for Breakthrough Innovation and Strategic Impact,تسخير الذكاء الاصطناعي للابتكار والأثر الاستراتيجي,"A 6-day on-campus program from Stanford Graduate School of Business, running 26 July 2026 to 31 July 2026.",برنامج حضوري لمدة 6 أيام من كلية ستانفورد للدراسات العليا في الأعمال، من 26 يوليو 2026 إلى 31 يوليو 2026.,digital,in-person,2026-07-26,2026-07-31,6,17500,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/california/stanford-university-stanford-graduate-school-of-business-executive-education,Stanford Graduate School of Business,كلية ستانفورد للدراسات العليا في الأعمال,Stanford,ستانفورد,United States,الولايات المتحدة,americas,Executive Leadership Development,تنمية القيادة التنفيذية,"A 6-day on-campus program from Stanford Graduate School of Business, running 19 July 2026 to 24 July 2026.",برنامج حضوري لمدة 6 أيام من كلية ستانفورد للدراسات العليا في الأعمال، من 19 يوليو 2026 إلى 24 يوليو 2026.,leadership,in-person,2026-07-19,2026-07-24,6,17000,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/california/stanford-university-stanford-graduate-school-of-business-executive-education,Stanford Graduate School of Business,كلية ستانفورد للدراسات العليا في الأعمال,Stanford,ستانفورد,United States,الولايات المتحدة,americas,Mergers and Acquisitions,الاندماج والاستحواذ,"A 6-day on-campus program from Stanford Graduate School of Business, running 12 July 2026 to 17 July 2026.",برنامج حضوري لمدة 6 أيام من كلية ستانفورد للدراسات العليا في الأعمال، من 12 يوليو 2026 إلى 17 يوليو 2026.,finance,in-person,2026-07-12,2026-07-17,6,16500,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/california/stanford-university-stanford-graduate-school-of-business-executive-education,Stanford Graduate School of Business,كلية ستانفورد للدراسات العليا في الأعمال,Stanford,ستانفورد,United States,الولايات المتحدة,americas,The Emerging CMO: Strategic Marketing Leadership,مدير التسويق الصاعد: قيادة التسويق الاستراتيجي,"A 6-day on-campus program from Stanford Graduate School of Business, running 16 August 2026 to 21 August 2026.",برنامج حضوري لمدة 6 أيام من كلية ستانفورد للدراسات العليا في الأعمال، من 16 أغسطس 2026 إلى 21 أغسطس 2026.,marketing,in-person,2026-08-16,2026-08-21,6,16500,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/california/stanford-university-stanford-graduate-school-of-business-executive-education,Stanford Graduate School of Business,كلية ستانفورد للدراسات العليا في الأعمال,Stanford,ستانفورد,United States,الولايات المتحدة,americas,Executive Program in Strategy and Organization,البرنامج التنفيذي في الاستراتيجية والتنظيم,"A 10-day on-campus program from Stanford Graduate School of Business, running 9 August 2026 to 21 August 2026.",برنامج حضوري لمدة 10 أيام من كلية ستانفورد للدراسات العليا في الأعمال، من 9 أغسطس 2026 إلى 21 أغسطس 2026.,strategy,in-person,2026-08-09,2026-08-21,10,29500,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/california/stanford-university-stanford-graduate-school-of-business-executive-education,Stanford Graduate School of Business,كلية ستانفورد للدراسات العليا في الأعمال,Stanford,ستانفورد,United States,الولايات المتحدة,americas,Stanford Executive Program,برنامج ستانفورد التنفيذي,"A 30-day on-campus program from Stanford Graduate School of Business, running 19 June 2026 to 1 August 2026.",برنامج حضوري لمدة 30 يومًا من كلية ستانفورد للدراسات العليا في الأعمال، من 19 يونيو 2026 إلى 1 أغسطس 2026.,leadership,in-person,2026-06-19,2026-08-01,30,89000,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/california/stanford-university-stanford-graduate-school-of-business-executive-education,Stanford Graduate School of Business,كلية ستانفورد للدراسات العليا في الأعمال,Stanford,ستانفورد,United States,الولايات المتحدة,americas,Stanford Business Essentials,أساسيات الأعمال من ستانفورد,"A 90-day online program from Stanford Graduate School of Business, running 15 April 2026 to 18 August 2026.",برنامج عبر الإنترنت لمدة 90 يومًا من كلية ستانفورد للدراسات العليا في الأعمال، من 15 أبريل 2026 إلى 18 أغسطس 2026.,finance,online,2026-04-15,2026-08-18,90,1950,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/california/stanford-university-stanford-graduate-school-of-business-executive-education,Stanford Graduate School of Business,كلية ستانفورد للدراسات العليا في الأعمال,Stanford,ستانفورد,United States,الولايات المتحدة,americas,Stanford LEAD Online Business Program,برنامج ستانفورد «ليد» للأعمال عبر الإنترنت,"A 260-day online program from Stanford Graduate School of Business, running 18 March 2026 to 17 March 2027.",برنامج عبر الإنترنت لمدة 260 يومًا من كلية ستانفورد للدراسات العليا في الأعمال، من 18 مارس 2026 إلى 17 مارس 2027.,leadership,online,2026-03-18,2027-03-17,260,19200,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
